SCM																																																																						
32	5179	0	140	250	100	5	10	1																																																														
33	5180	0	141	250	100	5	10	1																																																														
34	5181	0	141	250	100	5	10	1																																																														
35	5182	0	141	250	100	5	10	1																																																														
36	5183	0	142	250	100	5	10	1																																																														
37	5184	0	142	250	100	5	10	1																																																														
38	5185	0	142	250	100	5	10	1																																																														
39	5186	0	143	250	100	5	10	1																																																														
40	5187	0	143	250	100	5	10	1																																																														
41	5188	0	143	250	100	5	10	1																																																														
42	70000	0	144	250	100	5	10	99																																																														
43	70001	0	145	250	100	5	10	99																																																														
44	70002	0	145	250	100	5	10	99																																																														
																																																																						
LGM																																																																						
129	1787	0																																																																				
130	1788	0																																																																				
131	1789	0																																																																				
132	1790	0																																																																				
133	1791	0																																																																				
134	1792	0																																																																				
135	1793	0																																																																				
136	1794	0																																																																				
137	1795	0																																																																				
138	1796	0																																																																				
139	1797	0																																																																				
140	1798	0																																																																				
141	1799	0																																																																				
142	1800	0																																																																				
143	1801	0																																																																				
144	70000	0																																																																				
145	70001	0																																																																				
146	70002	0																																																																				
																																																																						
SCM																																																																						
009																																																																						
USM																																																																						
1	5189	0	129	250	100	5	10	1																																																														
2	5190	0	129	250	100	5	10	1																																																														
3	5191	0	129	250	100	5	10	1																																																														
4	5192	0	130	250	100	5	10	1																																																														
5	5193	0	130	250	100	5	10	1																																																														
6	5194	0	130	250	100	5	10	1																																																														
7	5195	0	131	250	100	5	10	1																																																														
8	5196	0	131	250	100	5	10	1																																																														
9	5197	0	131	250	100	5	10	1																																																														
10	5198	0	132	250	100	5	10	1																																																														
11	5199	0	132	250	100	5	10	1																																																														
12	5200	0	133	250	100	5	10	1																																																														
13	5201	0	133	250	100	5	10	1																																																														
14	5202	0	133	250	100	5	10	1																																																														
15	5203	0	134	250	100	5	10	1																																																														
16	5204	0	134	250	100	5	10	1																																																														
17	5205	0	135	250	100	5	10	1																																																														
18	5206	0	135	250	100	5	10	1																																																														
19	5207	0	135	250	100	5	10	1																																																														
20	5208	0	136	250	100	5	10	1																																																														
21	5209	0	136	250	100	5	10	1																																																														
22	5210	0	136	250	100	5	10	1																																																														
23	5211	0	137	250	100	5	10	1																																																														
24	5212	0	137	250	100	5	10	1																																																														
25	5213	0	137	250	100	5	10	1																																																														
26	5214	0	138	250	100	5	10	1																																																														
27	5215	0	138	250	100	5	10	1																																																														
28	5216	0	138	250	100	5	10	1																																																														
29	5217	0	139	250	100	5	10	1																																																														
30	5218	0	139	250	100	5	10	1																																																														
31	5219	0	139	250	100	5	10	1																																																														
32	5220	0	140	250	100	5	10	1																																																														
33	5221	0	140	250	100	5	10	1																																																														
34	5222	0	141	250	100	5	10	1																																																														
35	5223	0	141	250	100	5	10	1																																																														
36	5224	0	141	250	100	5	10	1																																																														
37	5225	0	142	250	100	5	10	1																																																														
38	5226	0	142	250	100	5	10	1																																																														
39	5227	0	142	250	100	5	10	1																																																														
40	5228	0	143	250	100	5	10	1																																																														
41	5229	0	143	250	100	5	10	1																																																														
42	5230	0	143	250	100	5	10	1																																																														
43	5231	0	144	250	100	5	10	1																																																														
44	5232	0	144	250	100	5	10	1																																																														
45	5233	0	144	250	100	5	10	1																																																														
46	70000	0	145	250	100	5	10	99																																																														
47	70001	0	145	250	100	5	10	99																																																														
48	70002	0	146	250	100	5	10	99																																																														
																																																																						
LGM																																																																						
129	1802	0																																																																				
130	1803	0																																																																				
131	1804	0																																																																				
132	1805	0																																																																				
133	1806	0																																																																				
134	1807	0																																																																				
135	1808	0																																																																				
136	1809	0																																																																				
137	1810	0																																																																				
138	1811	0																																																																				
139	1812	0																																																																				
140	1813	0																																																																				
141	1814	0																																																																				
142	1815	0																																																																				
143	1816	0																																																																				
144	1817	0																																																																				
145	70000	0																																																																				
146	70001	0																																																																				
																																																																						
SCM																																																																						
010																																																																						
USM																																																																						
1	5234	0	129	250	100	5	10	1																																																														
2	5235	0	129	250	100	5	10	1																																																														
3	5236	0	129	250	100	5	10	1																																																														
4	5237	0	130	250	100	5	10	1																																																														
5	5238	0	130	250	100	5	10	1																																																														
6	5239	0	130	250	100	5	10	1																																																														
7	5240	0	131	250	100	5	10	1																																																														
8	5241	0	131	250	100	5	10	1																																																														
9	5242	0	131	250	100	5	10	1																																																														
10	5243	0	132	250	100	5	10	1																																																														
11	5244	0	132	250	100	5	10	1																																																														
12	5245	0	133	250	100	5	10	1																																																														
13	5246	0	133	250	100	5	10	1																																																														
14	5247	0	133	250	100	5	10	1																																																														
15	5248	0	134	250	100	5	10	1																																																														
16	5249	0	134	250	100	5	10	1																																																														
17	5250	0	134	250	100	5	10	1																																																														
18	5251	0	135	250	100	5	10	1																																																														
19	5252	0	135	250	100	5	10	1																																																														
20	5253	0	135	250	100	5	10	1																																																														
21	5254	0	136	250	100	5	10	1																																																														
22	5255	0	136	250	100	5	10	1																																																														
23	5256	0	137	250	100	5	10	1																																																														
24	5257	0	137	250	100	5	10	1																																																														
25	5258	0	138	250	100	5	10	1																																																														
26	5259	0	138	250	100	5	10	1																																																														
27	5260	0	138	250	100	5	10	1																																																														
28	5261	0	139	250	100	5	10	1																																																														
29	5262	0	139	250	100	5	10	1																																																														
30	5263	0	139	250	100	5	10	1																																																														
31	5264	0	140	250	100	5	10	1																																																														
